rec_id,nr_hit,species,group member,method,classification,notes,Old_rec_id,Old_fasta_name
gi|690355084|ref|YP_009062872.1|AopP,WP_005321749.1,Aeromonas salmonicida subsp. salmonicida,,,,,,
tr|Q27RI1|Q27RI1_AERS4AopH,CAK02763.1,Aeromonas salmonicida subsp. salmonicida,,,,,,
tr|A0FKE4|A0FKE4_9GAMMAexT,WP_031227428.1,Aeromonas veronii,,,,,,
tr|A0FKE5|A0FKE5_9GAMMAexU,WP_021229262.1,Aeromonas veronii,,,,,,
gi|255648468|gb|ACU24693.1|AexT,ACU24677.1,Aeromonas veronii bv. sobria,,,,,,
E6KYT5,WP_006718911.1,Aggregatibacter segnis,,,,,,
D2TXF1,WP_051296919.1,Arsenophonus nasoniae,Ella,,Not experamently proven,,,
D2U1C8,WP_051297127.1,Arsenophonus nasoniae,Ella,,Not experamently proven,,,
D2U1Z2,WP_211229661.1,Arsenophonus nasoniae,Ella,,Not experamently proven,,,
D2U3S1,CBA76058.1,Arsenophonus nasoniae,Ella,,Not experamently proven,type III secretion system effector E3 ubiquitin transferase SlrP,,
tr|D2TZ31|D2TZ31_9ENTRType,WP_026822344.1,Arsenophonus nasoniae,Iris,,Not experamently proven,homogy to salmonella sipA effector,,
D2U1Z0,WP_051297022.1,Arsenophonus nasoniae,Iris,,not experimentally proven,"has around 45% identity to salmonella enterica's slrP_4 and a salmonella-like t3ss, but was not proven in",,
SFV18823.1,WP_092219345.1,Bradyrhizobium arachidis,,,,,,
BBA94277.1,BBA94277.1,Bradyrhizobium diazoefficiens,,,,,,
sp|Q9AMW4|Y2058_BRADUPutative,WP_011084854.1,Bradyrhizobium diazoefficiens,,,,,,
tr|Q79UN8|Q79UN8_BRADUBll1862,WP_011084668.1,Bradyrhizobium diazoefficiens,,,,,,
tr|Q89BB8|Q89BB8_BRADUBll8244,WP_011090955.1,Bradyrhizobium diazoefficiens,,,,,,
tr|Q89TW7|Q89TW7_BRADUBlr1656,WP_011084471.1,Bradyrhizobium diazoefficiens,,,,,,
tr|Q89TX4|Q89TX4_BRADUBlr1649,WP_011084464.1,Bradyrhizobium diazoefficiens,,,,,,
tr|Q89TL5|Q89TL5_BRADUBlr1904,AND87489.1,Bradyrhizobium diazoefficiens USDA 110,,,,,,
tr|Q89TT5|Q89TT5_BRADUBlr1693,AND87313.1,Bradyrhizobium diazoefficiens USDA 110,,,,,,
BBI37140.1,WP_016841760.1,Bradyrhizobium elkanii,,,,,,
tr|A0A0K0WSG7|A0A0K0WSG7_BRAEL,WP_172647897.1,Bradyrhizobium elkanii,,,,,,
tr|C4PL85|C4PL85_BRAELNopM,WP_016848203.1,Bradyrhizobium elkanii,,,,,,
BBJ34157.1,WP_014498653.1,Bradyrhizobium elkanii USDA 61,,,,,,
common_InnB__uniprot_A0A384VCK8__genbank_ASR87851.1__species_Bradyrhizobium_elkanii_USDA_61,ASR87851.1,Bradyrhizobium elkanii USDA 61,Noam,Cya,proven,,tr|A0A384VCK8|A0A384VCK8_BRAEL,tr|A0A384VCK8|A0A384VCK8_BRAEL_Bradyrhizobium_elkanii InnB OS=Bradyrhizobium elkanii OX=29448 GN=innB PE=4 SV=1
tr|C4PL71|C4PL71_BRAELNopC,BBC02554.1,Bradyrhizobium elkanii USDA 61,,,,,,
tr|A0A508T046|A0A508T046_9BRAD,WP_139859047.1,Bradyrhizobium ivorense,,,,,,
AGH09980.1,WP_018647880.1,Bradyrhizobium japonicum,,,,,,
AGH10006.1,AGH10006.1,Bradyrhizobium japonicum,,,,,,
gi|460416943|gb|AGH10037.1|type,WP_018647482.1,Bradyrhizobium japonicum,,,,,,
gi|460416969|gb|AGH10050.1|type,AGH10050.1,Bradyrhizobium japonicum,,,,,,
tr|Q9AN16|Q9AN16_BRAJPID636,WP_011084793.1,Bradyrhizobium japonicum,Ella,,not proven,"glycoside hydrolase, maybe homolog to NopAC",,
AGH09955.1,WP_018647880.1,Bradyrhizobium japonicum USDA 6,,,,,,
TWB51284.1,WP_080138346.1,Bradyrhizobium sacchari,,,,,,
ANU04583.1,ANU04583.1,Bradyrhizobium sp.,,,,,,
AWS20424.1,AWS20424.1,Bradyrhizobium sp.,,,,,,
SPP97830.1,WP_122405112.1,Bradyrhizobium vignae,,,,,,
C5ALT8,WP_012733186.1,Burkholderia glumae,,,,,,
gi|222447054|pdb|3EIT|AChain,MBF4084056.1,Burkholderia pseudomallei,,,,,,
gi|238828266|pdb|3GQM|AChain,3GQM_A,Burkholderia Pseudomallei,,,,,,
sp|A3NLC6|BOPA_BURP6Effector,WP_011853452.1,Burkholderia pseudomallei,,,,,,
sp|A3NLD4|BIPC_BURP6Effector,WP_028359003.1,Burkholderia pseudomallei,,,,,,
sp|A3P6Y8|BOPA_BURP0Effector,WP_004536698.1,Burkholderia pseudomallei,,,,,,
sp|Q3JL24|BIPC_BURP1Effector,WP_004528816.1,Burkholderia pseudomallei,,,,,,
sp|Q3JL32|BOPA_BURP1Effector,WP_004528810.1,Burkholderia pseudomallei,,,,,,
common_brpD__uniprot_Q63K45__genbank_WP_004203128.1__species_Burkholderia_pseudomallei,WP_004203128.1,Burkholderia pseudomallei,Iris,c-Myc-tagged BapA + western blot,proven,,tr|Q63K45|Q63K45_BURPS,tr|Q63K45|Q63K45_BURPS_pseudomallei_group Uncharacterized protein OS=Burkholderia pseudomallei (strain K96243) OX=272560 GN=c|bprD PE=4 SV=1|25635268|OK|yellow|2015|double check
sp|A3P6Z6|BIPC_BURP0Effector,WP_004551891.1,Burkholderia pseudomallei (strain 1106a),,,,,,
sp|A3NLC8|BOPE_BURP6Guanine,WP_004528812.1,Burkholderia pseudomallei (strain 668),,,,,,
common_bapA__uniprot_Q63K38__genbank_WP_011205636.1__species_Burkholderia_pseudomallei_(strain_K96243),WP_011205636.1,Burkholderia pseudomallei (strain K96243),Iris,c-Myc-tagged BprD + western blot,proven,,tr|Q63K38|Q63K38_BURPSUncharacterized,tr|Q63K38|Q63K38_BURPSUncharacterized_Burkholderia_pseudomallei protein OS=Burkholderia pseudomallei (strain K96243) GN=BPSS1528 PE=4 SV=1|24391954|
tr|Q63K40|Q63K40_BURPSPutative,WP_004188424.1,Burkholderia pseudomallei (strain K96243),,,,,,
common_bopC__uniprot_Q63K50__genbank_WP_162487069.1__species_Burkholderia_pseudomallei_Pasteur_52237,EDO90187.1,Burkholderia pseudomallei Pasteur 52237,Iris,"secretion to HELA cells, TEM-1 microscopy assay",proven,,tr|Q63K50|Q63K50_BURPSUncharacterized,tr|Q63K50|Q63K50_BURPSUncharacterized_Burkholderia_pseudomallei_Pasteur_52237 protein OS=Burkholderia pseudomallei (strain K96243) GN=BPSS1516 PE=4 SV=1|26120140|
sp|Q2T703|BOPA_BURTAEffector,WP_011401050.1,Burkholderia thailandensis,,,,,,
sp|Q2T704|BOPE_BURTAGuanine,WP_009896161.1,Burkholderia thailandensis,,,,,,
sp|Q2T710|BIPC_BURTAEffector,WP_009896151.1,Burkholderia thailandensis,,,,,,
E0WT68,EFL91753.1,Candidatus Regiella insecticola LSR1,,,,,,
tr|O30783|O30783_CHLCIInclusion,WP_011006450.1,Chlamydia caviae,,,,,,
tr|Q46210|Q46210_CHLCIInclusion,WP_011006508.1,Chlamydia caviae,,,,,,
tr|Q824H6|Q824H6_CHLCVUncharacterized,WP_011006142.1,Chlamydia caviae,,,,,,
Q9Z9F5,WP_010882676.1,Chlamydia pneumoniae,,,,,,
sp|Q9Z7Y1|Y572_CHLPNUncharacterized,WP_010883210.1,Chlamydia pneumoniae,,,,,,
sp|Q9Z8X8|Y206_CHLPNUncharacterized,WP_010882857.1,Chlamydia pneumoniae,Ella,,Not experamently proven,,,
tr|Q9Z785|Q9Z785_CHLPNPutative,WP_010883458.1,Chlamydia pneumoniae,Ella,,Not experamently proven,,,
tr|Q9Z7Q6|Q9Z7Q6_CHLPNUncharacterized,WP_010883286.1,Chlamydia pneumoniae,Ella,,Not experamently proven,,,
common_CPj0585__genbank_BAA98792.1__unirprot_Q9Z7W9__species_Chlamydia_pneumoniae,BAA98792.1,Chlamydia pneumoniae,Ella,GSK and immunolot,proven,"blast 100% to an old database (nt_hit), used in the second reference but not linked",tr|Q9Z7W9|Q9Z7W9_CHLPNCPj0585,tr|Q9Z7W9|Q9Z7W9_CHLPNCPj0585_Chlamydia_pneumoniae protein OS=Chlamydia pneumoniae GN=CP_0163 PE=4 SV=1|19390696|
tr|Q9Z861|Q9Z861_CHLPNUncharacterized,WP_010883128.1,Chlamydia pneumoniae,Ella,,Not experamently proven,,,
tr|Q9Z877|Q9Z877_CHLPNPutative,WP_010883112.1,Chlamydia pneumoniae,Ella,,"not experamently proven (secreteion not detected in CyA, BlaM and GSK assays).",,,
common_CPj0308__genbank_WP_010882956.1__unirprot_Q9Z8N0__species_Chlamydia_pneumoniae,BAA98518.1,Chlamydia pneumoniae,Ella,GSK and immunolot,proven,"blast 100% to an old database (nt_hit), used in the second reference but not linked",tr|Q9Z8N0|Q9Z8N0_CHLPNCPj0308,tr|Q9Z8N0|Q9Z8N0_CHLPNCPj0308_Chlamydia_pneumoniae protein OS=Chlamydia pneumoniae GN=CP_0450 PE=4 SV=1|23437191|
tr|Q9Z8P6|Q9Z8P6_CHLPNInclusion,WP_010882940.1,Chlamydia pneumoniae,,,,,,
common_IncB__uniprot_Q9Z8P7__genbank_WP_010882939.1__species_Chlamydia_pneumoniae,WP_010882939.1,Chlamydia pneumoniae,Iris,CyA,proven,,tr|Q9Z8P7|Q9Z8P7_CHLPNInclusion,tr|Q9Z8P7|Q9Z8P7_CHLPNInclusion_Chlamydia_pneumoniae Membrane Protein B OS=Chlamydia pneumoniae GN=incB PE=4 SV=1|19390696|
common_CPj0186__genbank_BAA98396.1__unirprot_Q9Z8Z8__species_Chlamydia_pneumoniae,BAA98396.1,Chlamydia pneumoniae,Ella,GSK and immunolot,proven,"blast 100% to an old database (nt_hit), used in the second reference but not linked",tr|Q9Z8Z8|Q9Z8Z8_CHLPNCPj0186,tr|Q9Z8Z8|Q9Z8Z8_CHLPNCPj0186_Chlamydia_pneumoniae protein OS=Chlamydia pneumoniae GN=CP_0581 PE=4 SV=1|19390696|
common_IncA_family_protein__genbank_BAA99234.1__uniprot_Q9JS06__species_Chlamydia_pneumoniae,BAA99234.1,Chlamydia pneumoniae,Ella,GSK and immunolot,proven,"old database (nt_hit), used in the second reference but not linked.",,
common_CPj0517/CP0236__genbank_BAA98723.1__uniprot_Q9K2B7__species_Chlamydia_pneumoniae,BAA98723.1,Chlamydia pneumoniae,Ella,GSK and immunolot,proven,"old database (nt_hit), used in the second reference but not linked. UniPort contains an X in the sequence.",,
WP_010725297.1,WP_010725297.1,Chlamydia trachomatis,Iris,,"not experamently proven, 99.4% homology to WP_009873285.1 (pkn5)","pkn5, CT_673",,
common_incD__genbank_AAD43974.1__unirprot_B0B9M3__species_Chlamydia_trachomatis,WP_009873570.1,Chlamydia trachomatis,Iris,"IncD fused to neomycin phosphotransferase (Npt) was expressed in wild-type and T3SS-deficient Y. pseudotuberculosis strains, with calcium levels manipulated to inhibit or induce the T3SS",proven,,sp|B0B9M3|INCD_CHLT2Inclusion,tr|Q9Z8P7|Q9Z8P7_CHLPNInclusion_Chlamydia_pneumoniae Membrane Protein B OS=Chlamydia pneumoniae GN=incB PE=4 SV=1|19390696|
sp|B0B9M4|INCE_CHLT2Inclusion,WP_009873571.1,Chlamydia trachomatis,Iris,,not proven,IncE protein but not individually proven as a T3E.,,
sp|B0B9M5|INCF_CHLT2Inclusion,WP_009873572.1,Chlamydia trachomatis,Iris,,not proven,IncF protein but not individually proven as a T3E.,,
common_IncM__uniprot_O84290__genbank_WP_010725149.1__species_Chlamydia_trachomatis,WP_010725149.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,sp|O84290|Y288_CHLTRUncharacterized,sp|O84290|Y288_CHLTRUncharacterized_Chlamydia_trachomatis protein CT_288 OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_288 PE=3 SV=1|24391954|
common_CT373__uniprot_O84378__genbank_WP_010725175.1__species_Chlamydia_trachomatis,WP_010725175.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,sp|O84378|AAXB_CHLTRPyruvoyl-dependent,sp|O84378|AAXB_CHLTRPyruvoyl-dependent_Chlamydia_trachomatis arginine decarboxylase AaxB OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=aaxB PE=3 SV=1|24391954|
common_CT442__uniprot_O84449__genbank_WP_009872659.1__species_Chlamydia_trachomatis,WP_009872659.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,sp|O84449|SRPD_CHLTRSulfur-rich,"sp|O84449|SRPD_CHLTRSulfur-rich_Chlamydia_trachomatis protein, serovar D OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=srp PE=3 SV=1|24391954|"
common_tarP__uniprot_O84462__genbank_WP_010725202.1__species_Chlamydia_trachomatis,WP_010725202.1,Chlamydia trachomatis,Iris,flag-tag+immunoblot in ca+/ca-,proven,,sp|O84462|TARP_CHLTRTranslocated,sp|O84462|TARP_CHLTRTranslocated_Chlamydia_trachomatis actin-recruiting phosphoprotein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=tarP PE=3 SV=1|19390696|
common_TepP__uniprot_O84883__genbank_WP_010724957.1__species_Chlamydia_trachomatis,WP_010724957.1,Chlamydia trachomatis,Iris,secretion to HELA cells+immunofluorescence microscopy,proven,,sp|O84883|Y875_CHLTRUncharacterized,sp|O84883|Y875_CHLTRUncharacterized_Chlamydia_trachomatis protein CT_875 OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_875 PE=4 SV=1|26120140|
common_IncA__uniprot_P0CI27__genbank_WP_009871466.1__species_Chlamydia_trachomatis,WP_009871466.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,sp|P0CI27|INCA1_CHLTRInclusion,sp|P0CI27|INCA1_CHLTRInclusion_Chlamydia_trachomatis membrane protein A OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=incA PE=3 SV=1|
common_IncD__uniprot_P0DJI3__genbank_WP_009871462.1__species_Chlamydia_trachomatis,WP_009871462.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,sp|P0DJI3|INCD_CHLTRInclusion,sp|P0DJI3|INCD_CHLTRInclusion_Chlamydia_trachomatis membrane protein D OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=incD PE=3 SV=1|19390696|
sp|P0DJI5|INCF_CHLTRInclusion,WP_010725072.1,Chlamydia trachomatis,Iris,,not experamently proven,IncF protein but not individually proven as a T3E.,,
sp|P0DPS5|INCA_CHLTH,P0DPS5.1,Chlamydia trachomatis,,,,incA,,
common_IncG__uniprot_P0DPS6__genbank_WP_009871465.1__species_Chlamydia_trachomatis,WP_009871465.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,sp|P0DPS6|INCG_CHLTR,sp|P0DPS6|INCG_CHLTR_Chlamydia_trachomatis Inclusion membrane protein G OS=Chlamydia trachomatis (strain D/UW-3/Cx) OX=272561 GN=incG PE=1 SV=1|24391954|
tr|B7SCF5|B7SCF5_CHLTH,WP_010725071.1,Chlamydia trachomatis,Iris,,not experamently proven,IncE protein but not individually proven as a T3E.,,
common_CT143__uniprot_K0GGG6__genbank_WP_009871489.1__species_Chlamydia_trachomatis,WP_009871489.1,Chlamydia trachomatis,Iris,"secretion to HELA cells, immunoblot of HA-tagged proteins assay",proven,,tr|K0GGG6|K0GGG6_CHLTHUncharacterised,tr|K0GGG6|K0GGG6_CHLTHUncharacterised_Chlamydia_trachomatis protein OS=Chlamydia trachomatis GN=CT143 PE=4 SV=1|26120140|
common_CT053__uniprot_O84056__genbank_WP_009872349.1__species_Chlamydia_trachomatis,WP_009872349.1,Chlamydia trachomatis,Iris,"secretion to HELA cells, immunoblot of HA-tagged proteins assay",proven,,tr|O84056|O84056_CHLTRUncharacterized,tr|O84056|O84056_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_053 PE=4 SV=1|26120140|
common_CT083__uniprot_O84085__genbank_WP_009871431.1__species_Chlamydia_trachomatis,WP_009871431.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,tr|O84085|O84085_CHLTRUncharacterized,tr|O84085|O84085_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_083 PE=4 SV=1|24391954|
common_CT105__uniprot_O84107__genbank_WP_010725058.1__species_Chlamydia_trachomatis,WP_010725058.1,Chlamydia trachomatis,Iris,"secretion to HELA cells, immunoblot of HA-tagged proteins assay",proven,,tr|O84107|O84107_CHLTRUncharacterized,tr|O84107|O84107_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_105 PE=4 SV=1|26120140|
common_CT142__uniprot_O84144__genbank_WP_009871488.1__species_Chlamydia_trachomatis,WP_009871488.1,Chlamydia trachomatis,Iris,"secretion to HELA cells, immunoblot of HA-tagged proteins assay",proven,,tr|O84144|O84144_CHLTRUncharacterized,tr|O84144|O84144_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_142 PE=4 SV=1|26120140|
common_CT161__uniprot_O84163__genbank_WP_010725103.1__species_Chlamydia_trachomatis,WP_010725103.1,Chlamydia trachomatis,Iris,"secretion to HELA cells, immunoblot of HA-tagged proteins assay",proven,,tr|O84163|O84163_CHLTRUncharacterized,tr|O84163|O84163_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_161 PE=4 SV=1|26120140|
common_CT223__uniprot_O84226__genbank_WP_010725128.1__species_Chlamydia_trachomatis,WP_010725128.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,tr|O84226|O84226_CHLTRUncharacterized,tr|O84226|O84226_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_223 PE=4 SV=1|24391954|
common_CT229__uniprot_O84232__genbank_WP_010725130.1__species_Chlamydia_trachomatis,WP_010725130.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,tr|O84232|O84232_CHLTRUncharacterized,tr|O84232|O84232_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_229 PE=4 SV=1|24391954|
tr|O84235|O84235_CHLTRInclusion,WP_009871579.1,Chlamydia trachomatis,Iris,,not experamently proven,annotated as incB but only 21% identity to the other clamydial incB in our databse. could not find a specific verification. CT_232,,
common_IncC__uniprot_O84236__genbank_WP_009871580.1__species_Chlamydia_trachomatis,WP_009871580.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,tr|O84236|O84236_CHLTRInclusion,tr|O84236|O84236_CHLTRInclusion_Chlamydia_trachomatis Membrane Protein C OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=incC PE=4 SV=1|19390696|
common_CT550__uniprot_O84554__genbank_WP_009871914.1__species_Chlamydia_trachomatis,WP_009871914.1,Chlamydia trachomatis,Iris,CyA+western blot against CyA antibody in shigella consitutively expressed vs. defected T3SS,proven,,tr|O84554|O84554_CHLTRUncharacterized,tr|O84554|O84554_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_550 PE=4 SV=1|24391954|
common_CT620__uniprot_O84625__genbank_WP_009871988.1__species_Chlamydia_trachomatis,WP_009871988.1,Chlamydia trachomatis,Iris,,proven,,tr|O84625|O84625_CHLTRUncharacterized,tr|O84625|O84625_CHLTRUncharacterized_Chlamydia_trachomatis protein OS=Chlamydia trachomatis (strain D/UW-3/Cx) GN=CT_620 PE=4 SV=1|26120140|
